Sl.No,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History,rainfall_24h,rainfall_3d,rainfall_7d,rainfall_source,rainfall_source_type,rainfall_status,soil_moisture,soil_moisture_source,soil_moisture_source_type,soil_moisture_status,elevation,slope,aspect,landslide,sample_source,rainfall_available,soil_moisture_available,terrain_available
22303,MIZ/AIZ/84A09/2016/86,Mizoram,Mamit,Sairang - Silchar road,,23.855535,92.648953,Earth,Slide,2016,,,,,,,,,,,73.0,35.7731,242.9377,1,GSI_field_inventory,False,False,True
22304,MIZ/AIZ/84A13/2016/33,Mizoram,Aizawl,~19 km from Khawruhlian,towards Sesawng on NH 150,23.856821,92.833784,Debris,Flow,2016,,,,,,,,,,,189.0,25.7501,270.4807,1,GSI_field_inventory,False,False,True
22305,MIZ/AIZ/84A09/2016/50,Mizoram,Aizawl,Siphir-Lungdai section,,23.856861,92.743028,Debris,Slide,2016,,,,,,,,,,,1367.0,23.2755,86.224,1,GSI_field_inventory,False,False,True
22307,MIZ/AIZ/84A09/2016/91,Mizoram,Mamit,"Lengpui, NH 54 section",,23.857278,92.646222,Debris,Slide,,,,,,,,,,,,163.0,40.1613,94.9519,1,GSI_field_inventory,False,False,True
22308,MIZ/AIZ/84A13/2016/126,Mizoram,Aizawl,Khanpui-Khawkawi section,,23.859417,92.917333,Debris,Slide,,,,,,,,,,,,1258.0,23.6759,278.4923,1,GSI_field_inventory,False,False,True
22309,MZ/MAM/84A05/2020/14,Mizoram,Mamit,Mualthuam- Kawrtethawveng road,section slide 2 Mualthuam- Kawrtethawveng road section,23.86,92.35,Debris,Slide,2019,,,,,,,,,,,282.0,9.1332,249.3649,1,GSI_field_inventory,False,False,True
22310,MZ/MAM/84A05/2020/15,Mizoram,Mamit,Mualthuam- Kawrtethawveng road,section slide 3 Mualthuam- Kawrtethawveng road section,23.86,92.37,Rock,Slide,,,,,,,,,,,,540.0,28.1076,232.6885,1,GSI_field_inventory,False,False,True
22311,MIZ/AIZ/84A13/2016/32,Mizoram,Aizawl,~16 km from Khawruhlian,towards Sesawng on NH 150,23.860102,92.834056,Debris,Slide,2016,,,,,,,,,,,202.0,25.6851,228.9792,1,GSI_field_inventory,False,False,True
22312,MZ/CHA/84E01/2017/47,Mizoram,Champhai,5 km S of Ngopa,,23.860167,93.194778,Debris,Slide,,,,,,,,,,,,912.0,32.3455,136.2294,1,GSI_field_inventory,False,False,True
22313,MZ/CHA/84E01/2017/2,Mizoram,Champhai,3.2 km S of Ngopa,,23.860361,93.203804,Debris,Slide,,,,,,,,,,,,955.0,23.1983,230.7517,1,GSI_field_inventory,False,False,True
22314,MZ/CHA/84E01/2017/3,Mizoram,Champhai,3.2 km S of Ngopa,,23.860361,93.203804,Rock,Slide,2017,,,,,,,,,,,955.0,23.1983,230.7517,1,GSI_field_inventory,False,False,True
22315,MZ/CHA/84E05/2017/14,Mizoram,Champhai,KawlbemVaikhawtlang section,,23.861805,93.364944,Debris,Slide,2017,,,,,,,,,,,610.0,18.9809,107.8132,1,GSI_field_inventory,False,False,True
22316,MZ/CHA/84E01/2017/29,Mizoram,Champhai,2.5 km S of Ngopa,,23.862638,93.204025,Debris,Slide,2017,,,,,,,,,,,996.0,22.0553,276.3082,1,GSI_field_inventory,False,False,True
22317,MZ/CHA/84E01/2017/20,Mizoram,Champhai,3.8 km S of Ngopa,,23.863417,93.201279,Debris,Slide,,,,,,,,,,,,932.0,25.1396,205.1094,1,GSI_field_inventory,False,False,True
22318,MIZ/AIZ/84A13/2016/127,Mizoram,Aizawl,Khawkawi section,,23.865694,92.932639,Rock,Slide,,,,,,,,,,,,1315.0,28.8809,69.8286,1,GSI_field_inventory,False,False,True
22319,MZ/CHA/84E01/2017/41,Mizoram,Champhai,5 km from Ngopa,,23.866138,93.222809,Debris,Slide,,,,,,,,,,,,1163.0,19.6663,296.9329,1,GSI_field_inventory,False,False,True
22320,MZ/CHA/84E01/2017/13,Mizoram,Champhai,2 km S of Ngopa,,23.867277,93.205643,Debris,Slide,2017,,,,,,,,,,,1047.0,35.5065,326.4931,1,GSI_field_inventory,False,False,True
22321,MZ/CHA/84E01/2017/42,Mizoram,Champhai,Near Ngopa village,,23.868279,93.222557,Debris,Slide,,,,,,,,,,,,1160.0,31.9404,326.8667,1,GSI_field_inventory,False,False,True
22322,MIZ/AIZ/84A09/2016/53,Mizoram,Aizawl,"~1km from Lungdai, on Silchar",Road (Siphir-Serkhan section),23.868917,92.735472,Rock,Fall,2016,,,,,,,,,,,1258.0,26.4368,278.8964,1,GSI_field_inventory,False,False,True
22323,MIZ/AIZ/84A13/2016/15,Mizoram,Aizawl,Khawruhlian village on NH150,,23.869861,92.877444,Debris,Slide,2016,,,,,,,,,,,978.0,18.9842,0.7371,1,GSI_field_inventory,False,False,True
22324,MZ/MAM/84A05/2020/6,Mizoram,Mamit,South of Mamit slide,South of Mamit,23.87,92.5,Rock,Slide,2019,,,,,,,,,,,873.0,12.2866,84.669,1,GSI_field_inventory,False,False,True
22325,MZ/CHA/84E01/2017/17,Mizoram,Champhai,1 km S of Ngopa,,23.870445,93.208611,Debris,Slide,2017,,,,,,,,,,,1045.0,39.3317,337.4521,1,GSI_field_inventory,False,False,True
22326,MZ/CHA/84E05/2017/9,Mizoram,Champhai,KawlbemVaikhawtlang section,,23.870445,93.353859,Debris,Slide,,,,,,,,,,,,992.0,28.627,20.9004,1,GSI_field_inventory,False,False,True
22327,MZ/CHA/84E01/2017/49,Mizoram,Champhai,Near Ngopa village,,23.870567,93.215149,Debris,Slide,,,,,,,,,,,,1127.0,34.6908,130.4637,1,GSI_field_inventory,False,False,True
22328,MZ/AIZ/84E01/2017/90,Mizoram,Aizawl,PhullenPhuaibuang,,23.870583,93.095444,Rock,Slide,,,,,,,,,,,,575.0,23.7961,63.2762,1,GSI_field_inventory,False,False,True
22329,MZ/AIZ/84E01/2017/65,Mizoram,Aizawl,Ainawl village,,23.87075,93.078529,Debris,Slide,2017,,,,,,,,,,,702.0,32.7781,247.0664,1,GSI_field_inventory,False,False,True
22330,MIZ/AIZ/84A13/2016/7,Mizoram,Aizawl,near Pehlawn,,23.871694,92.919955,Debris,Slide,2016,,,,,,,,,,,1186.0,31.3463,294.7443,1,GSI_field_inventory,False,False,True
22331,MZ/AIZ/84E01/2017/96,Mizoram,Aizawl,~5k m from Ainawl along,PhullenPhuaibuang section,23.872055,93.094276,Rock,Slide,,,,,,,,,,,,608.0,22.9911,108.3463,1,GSI_field_inventory,False,False,True
22332,MZ/CHA/84E05/2017/17,Mizoram,Champhai,KawlbemVaikhawtlang section,,23.87211,93.335999,Rock,Slide,,,,,,,,,,,,1196.0,17.8802,197.5654,1,GSI_field_inventory,False,False,True
22333,MIZ/AIZ/84A13/2016/16,Mizoram,Aizawl,Khawruhlian village(near,culvert) on NH150,23.872722,92.874083,Rock,Slide,1996,,,,,,,,,,,937.0,19.8957,330.7163,1,GSI_field_inventory,False,False,True
22334,MZ/CHA/84E01/2017/11,Mizoram,Champhai,KawlbemNgopa section,,23.874056,93.244469,Rock,Slide,,,,,,,,,,,,1223.0,24.9159,309.4927,1,GSI_field_inventory,False,False,True
22335,MZ/CHA/84E01/2017/44,Mizoram,Champhai,Ngopa village,,23.875174,93.21302,Debris,Slide,,,,,,,,,,,,1151.0,27.8176,32.4671,1,GSI_field_inventory,False,False,True
22336,MZ/CHA/84E05/2017/2,Mizoram,Champhai,KawlbemNgopa section,,23.876139,93.260445,Debris,Slide,,,,,,,,,,,,1616.0,15.7411,312.4405,1,GSI_field_inventory,False,False,True
22337,MZ/CHA/84E05/2017/11,Mizoram,Champhai,NgopaTeikhang section,,23.877806,93.267609,Rock,Fall,2017,,,,,,,,,,,1668.0,51.1,269.2516,1,GSI_field_inventory,False,False,True
22338,MIZ/AIZ/84A09/2016/92,Mizoram,Aizawl,Near Lengpui-NH 54 junction,,23.88,92.69,Rock,Fall,2016,,,,,,,,,,,609.0,23.1602,130.0388,1,GSI_field_inventory,False,False,True
22339,MZ/MAM/84A05/2020/7,Mizoram,Mamit,Mamit road slide,Junction between NH-108 bypass and Mamit road,23.88,92.5,Rock,Slide,2019,,,,,,,,,,,761.0,35.2586,62.7446,1,GSI_field_inventory,False,False,True
22340,MZ/CHA/84E01/2017/39,Mizoram,Champhai,KawlbemNgopa section,,23.881056,93.245804,Debris,Slide,,,,,,,,,,,,1476.0,29.9546,228.1545,1,GSI_field_inventory,False,False,True
22341,MZ/CHA/84E05/2017/23,Mizoram,Champhai,KawlbemNgopa section,,23.881361,93.257027,Rock,Slide,,,,,,,,,,,,1568.0,16.0147,13.3735,1,GSI_field_inventory,False,False,True
22342,MZ/CHA/84E01/2017/40,Mizoram,Champhai,19 km from ngopa,,23.88139,93.243027,Debris,Slide,2017,,,,,,,,,,,1356.0,30.6281,314.7522,1,GSI_field_inventory,False,False,True
22343,MZ/CHA/84E01/2017/4,Mizoram,Champhai,KawlbemNgopa section,,23.881639,93.234642,Debris,Slide,,,,,,,,,,,,1272.0,28.4647,238.9992,1,GSI_field_inventory,False,False,True
22344,MZ/CHA/84E05/2017/24,Mizoram,Champhai,KawlbemNgopa section,,23.881971,93.250969,Rock,Slide,,,,,,,,,,,,1542.0,29.21,357.2777,1,GSI_field_inventory,False,False,True
22345,MZ/AIZ/84E01/2017/57,Mizoram,Aizawl,ZawnginPhullen section,,23.882055,93.041222,Debris,Slide,,,,,,,,,,,,876.0,43.0665,68.139,1,GSI_field_inventory,False,False,True
22346,MZ/CHA/84E01/2017/23,Mizoram,Champhai,KawlbemNgopa section,,23.882389,93.248947,Debris,Slide,2017,,,,,,,,,,,1518.0,28.2907,350.0562,1,GSI_field_inventory,False,False,True
22347,MIZ/AIZ/84A13/2016/22,Mizoram,Aizawl,2.5 km S of Khawruhlian,towards Sesawng on NH 150,23.882583,92.877639,Debris,Slide,2016,,,,,,,,,,,882.0,29.9438,32.5361,1,GSI_field_inventory,False,False,True
22348,MIZ/AIZ/84A13/2016/23,Mizoram,Aizawl,4.2 km S of Khawruhlian,towards Sesawng on NH 150,23.88319,92.869,Debris,Slide,2016,,,,,,,,,,,671.0,31.876,39.8327,1,GSI_field_inventory,False,False,True
22349,MIZ/AIZ/84A13/2016/25,Mizoram,Aizawl,~6.5 km S of Khawruhlian,towards Sesawng on NH 150,23.883306,92.861917,Debris,Flow,2016,,,,,,,,,,,711.0,24.264,189.0386,1,GSI_field_inventory,False,False,True
22350,MIZ/AIZ/84A13/2016/24,Mizoram,Aizawl,~4.8 km S of Khawruhlian,towards Sesawng on NH 150,23.88375,92.866778,Debris,Slide,2016,,,,,,,,,,,711.0,25.4539,5.8706,1,GSI_field_inventory,False,False,True
22351,MIZ/AIZ/84A13/2016/21,Mizoram,Aizawl,2km Khawruhlian milestone,towards Sesawng on NH 150,23.883944,92.880528,Debris,Slide,2016,,,,,,,,,,,879.0,26.5362,296.4698,1,GSI_field_inventory,False,False,True
22352,MZ/CHA/84E01/2017/38,Mizoram,Champhai,18 km from ngopa,,23.883944,93.247528,Rock,Slide,,,,,,,,,,,,1443.0,27.002,349.9962,1,GSI_field_inventory,False,False,True
22353,MZ/CHA/84E01/2017/36,Mizoram,Champhai,Ngopa,"Ngopa village, 0 point",23.884083,93.209908,Rock,Slide,,,,,,,,,,,,1192.0,23.8192,213.4647,1,GSI_field_inventory,False,False,True
22354,MZ/CHA/84E01/2017/6,Mizoram,Champhai,"Ngopa village, 0 pointTuivai R",,23.885195,93.202332,Rock,Slide,,,,,,,,,,,,912.0,36.0085,236.5456,1,GSI_field_inventory,False,False,True
22355,MZ/CHA/84E01/2017/48,Mizoram,Champhai,"Ngopa village, 0 point to Tuivai",river,23.885279,93.207726,Debris,Flow,,,,,,,,,,,,1096.0,22.5368,262.7163,1,GSI_field_inventory,False,False,True
22356,MIZ/AIZ/84A13/2016/26,Mizoram,Aizawl,~7.3 km S of Khawruhlian,towards Sesawng on NH 150,23.885639,92.857861,Debris,Slide,,,,,,,,,,,,707.0,32.3433,136.7663,1,GSI_field_inventory,False,False,True
22357,MZ/CHA/84E01/2017/33,Mizoram,Champhai,"Ngopa village, 0 pointTuivai R",,23.886723,93.200279,Debris,Slide,2017,,,,,,,,,,,873.0,24.5362,239.647,1,GSI_field_inventory,False,False,True
22358,MZ/AIZ/84E01/2017/93,Mizoram,Aizawl,"Ainawl village, near Tuivai river",,23.887251,93.095612,Debris,Slide,,,,,,,,,,,,637.0,31.9059,19.5196,1,GSI_field_inventory,False,False,True
22359,MIZ/AIZ/84A13/2016/30,Mizoram,Aizawl,11 km Khawruhlian milestone,towards Sesawng on NH 150,23.887333,92.851111,Debris,Flow,2016,,,,,,,,,,,526.0,24.6238,282.7525,1,GSI_field_inventory,False,False,True
22360,MZ/AIZ/84E01/2017/66,Mizoram,Aizawl,ZawnginPhullen section,,23.888081,93.026642,Debris,Slide,,,,,,,,,,,,958.0,26.3989,159.6501,1,GSI_field_inventory,False,False,True
22361,MZ/AIZ/84E01/2017/83,Mizoram,Aizawl,ZawnginPhullen section,,23.888945,93.033974,Rock,Slide,,,,,,,,,,,,913.0,23.8195,326.5343,1,GSI_field_inventory,False,False,True
22362,MIZ/AIZ/84A09/2016/55,Mizoram,Aizawl,"Lungdai village, Silchar road",,23.889306,92.736528,Rock,Slide,,,,,,,,,,,,1118.0,33.0169,232.8366,1,GSI_field_inventory,False,False,True
