Sl.No,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History,rainfall_24h,rainfall_3d,rainfall_7d,rainfall_source,rainfall_source_type,rainfall_status,soil_moisture,soil_moisture_source,soil_moisture_source_type,soil_moisture_status,elevation,slope,aspect,landslide,sample_source,rainfall_available,soil_moisture_available,terrain_available
1,ASM/HKN/83D07/2020/2,Assam,Hailakandi,Kukinala slide,Kukinala,24.27,92.5,Debris,Slide,,,,,,,,,,,,41.0,9.3945,242.3063,1,GSI_field_inventory,False,False,True
2,AS/HKN/83D11/2020/1,Assam,Hailakandi,Jalnachaura slide,Jalnachaura,24.31,92.56,Debris,Slide,,,,,,,,,,,,46.0,2.464,235.6474,1,GSI_field_inventory,False,False,True
3,AS/HKN/83D10/2020/6,Assam,Hailakandi,Nandagram slide,Nandagram Pt. I,24.32,92.51,Debris,Slide,,,,,,,,,,,,81.0,7.927,73.1037,1,GSI_field_inventory,False,False,True
4,AS/HKN/83D11/2020/4,Assam,Hailakandi,Nishkar slide,Mahapur,24.43,92.55,Debris,Slide,,,,,,,,,,,,38.0,3.7813,322.7511,1,GSI_field_inventory,False,False,True
5,AS/KRJ/83D07/2020/1,Assam,Karimganj,Paglacherra slide,PaglacherraPunj,24.44,92.5,Rock,Slide,,,,,,,,,,,,201.0,26.3247,265.7783,1,GSI_field_inventory,False,False,True
6,AS/HKN/83D11/2020/3,Assam,Hailakandi,Lalpani slide,NH - 154,24.44,92.56,Debris,Slide,,,,,,,,,,,,36.0,0.7407,159.8902,1,GSI_field_inventory,False,False,True
7,AS/HKN/83D11/2020/2,Assam,Hailakandi,Garapunjislide,Telecherra,24.46,92.52,Debris,Slide,,,,,,,,,,,,104.0,4.2252,208.78,1,GSI_field_inventory,False,False,True
8,ASM/HLKD/83D10/2016/58,Assam,Hailakandi,Terracherra Slide,Terracherra area,24.478972,92.682861,Debris,Slide,17 May 2016,27.2,41.3,86.5,Open-Meteo historical weather,reanalysis,available,0.407302,Open-Meteo ERA5-Land,reanalysis,available,65.0,12.9203,188.9207,1,GSI_field_inventory,True,True,True
9,AS/HKN/83D07/2020/1,Assam,Hailakandi,Maneshwarpur landslide,Maneshwarpur,24.48,92.49,Debris,Slide,,,,,,,,,,,,56.0,14.8245,292.4741,1,GSI_field_inventory,False,False,True
10,AS/HKN/83D10/2020/7,Assam,Hailakandi,Kurttathal slide,Nunaikhal,24.51,92.64,Debris,Slide,,,,,,,,,,,,60.0,7.8744,132.2987,1,GSI_field_inventory,False,False,True
11,AS/HKN/83D10/2020/4,Assam,Hailakandi,Dholaikhal slide,Inner Line Reserved Forest,24.51,92.75,Rock,Slide,,,,,,,,,,,,144.0,4.7974,295.7204,1,GSI_field_inventory,False,False,True
12,AS/CHR/83D14/2020/3,Assam,Cachar,Bishnupur Puniyar Slide,Bishnupur Puniyar,24.51,92.9,Debris,Slide,,,,,,,,,,,,81.0,13.6809,104.4408,1,GSI_field_inventory,False,False,True
13,AS/HKN/83D10/2020/5,Assam,Hailakandi,Barthal slide,Bilaipur,24.51,92.71,Debris,Slide,,,,,,,,,,,,34.0,4.8798,261.8244,1,GSI_field_inventory,False,False,True
14,ASM/HLKD/83D10/2016/59,Assam,Hailakandi,Lalcherra Slide (Rabinala),Near Patakhouri Durga Mandir Under Bilaipur Forest Village; Lala Police Station,24.511306,92.693028,Debris,Slide,18 May 2016,24.1,57.3,110.3,Open-Meteo historical weather,reanalysis,available,0.415323,Open-Meteo ERA5-Land,reanalysis,available,45.0,4.4361,200.1203,1,GSI_field_inventory,True,True,True
15,ASM/HLKD/83D10/2016/60,Assam,Hailakandi,Ramchandi (Koyabasti),Ramchandi area,24.515944,92.540889,Earth,Slide,18 May 2016,24.8,71.1,125.9,Open-Meteo historical weather,reanalysis,available,0.422354,Open-Meteo ERA5-Land,reanalysis,available,57.0,14.1141,317.7624,1,GSI_field_inventory,True,True,True
16,AS/HKN/83D10/2020/3,Assam,Hailakandi,Dinanathpur slide,Dinanathpur,24.52,92.53,Debris,Slide,,,,,,,,,,,,68.0,4.8567,128.256,1,GSI_field_inventory,False,False,True
17,AS/HKN/83D10/2020/8,Assam,Hailakandi,Lala Chaura Bagan slide,Lala Chaura Bagan,24.53,92.63,Debris,Slide,,,,,,,,,,,,33.0,4.174,307.5885,1,GSI_field_inventory,False,False,True
18,AS/CHR/83D14/2020/4,Assam,Cachar,Raj Nagar Slide,Raj Nagar,24.53,92.84,Debris,Slide,,,,,,,,,,,,31.0,1.4516,118.6278,1,GSI_field_inventory,False,False,True
19,AS/CHR/83D14/2020/5,Assam,Cachar,Shymacharanpur slide,Shyamacharanpur,24.53,92.84,Debris,Slide,,,,,,,,,,,,31.0,1.4516,118.6278,1,GSI_field_inventory,False,False,True
20,AS/HKN/83D10/2020/11,Assam,Hailakandi,Nubarnapur slide,Lalamukh village,24.54,92.63,Debris,Slide,,,,,,,,,,,,49.0,0.9274,180.0,1,GSI_field_inventory,False,False,True
21,AS/HKN/83D10/2020/1,Assam,Hailakandi,Dwarbond- Bilaipur slide,Dwarbond- Bilaipur road,24.55,92.74,Debris,Slide,,,,,,,,,,,,56.0,5.8135,40.9559,1,GSI_field_inventory,False,False,True
22,AS/HKN/83D10/2020/9,Assam,Hailakandi,Purbanakshatila slide 1,Purbanakshatila,24.55,92.75,Debris,Slide,,,,,,,,,,,,49.0,2.0667,227.7104,1,GSI_field_inventory,False,False,True
23,AS/HKN/83D10/2020/10,Assam,Hailakandi,Purbanakshatila slide 2,Purbanakshatila,24.55,92.75,Debris,Slide,,,,,,,,,,,,49.0,2.0667,227.7104,1,GSI_field_inventory,False,False,True
24,AS/CHR/83D14/2020/2,Assam,Cachar,Maniarkhal Slide,Maniarkhal Pt VII (Tea estate),24.56,92.94,Debris,Slide,,,,,,,,,,,,43.0,6.2818,6.965,1,GSI_field_inventory,False,False,True
25,AS/CAC/83D10/2009-10/AS-1,Assam,Cachar,Palgana slide,Paglagaon (near Mursabarti) under Baghbahar GP part 3,24.57025,92.685,Debris,Slide,02 April 2010,4.7,156.0,314.0,Open-Meteo historical weather,reanalysis,available,0.405542,Open-Meteo ERA5-Land,reanalysis,available,49.0,5.8806,231.0479,1,GSI_field_inventory,True,True,True
26,AS/CHR/83D14/2020/6,Assam,Cachar,Pruptal slide,Pruptal,24.62,92.83,Debris,Slide,,,,,,,,,,,,35.0,5.1708,280.3048,1,GSI_field_inventory,False,False,True
27,AS/CHR/83D14/2020/7,Assam,Cachar,Panibara slide,Panibara,24.62,92.84,Debris,Slide,2019,,,,,,,,,,,39.0,7.7761,109.0256,1,GSI_field_inventory,False,False,True
28,AS/HKN/83D10/2020/2,Assam,Hailakandi,BoroJalenga slide,BoroJalenga,24.63,92.74,Debris,Slide,,,,,,,,,,,,71.0,11.0551,73.1429,1,GSI_field_inventory,False,False,True
29,AS/CHR/83D14/2020/1,Assam,Cachar,Bhuban Nagar slide,Bhuban Nagar,24.64,92.98,Debris,Slide,2019,,,,,,,,,,,34.0,1.7891,121.2143,1,GSI_field_inventory,False,False,True
30,ASM/CCR/83H2/2016/66,Assam,Cachar,Khasiapunji slide,Khasiapunji village,24.645417,93.005361,Debris,Slide,31 August 2016,10.3,21.4,53.1,Open-Meteo historical weather,reanalysis,available,0.410146,Open-Meteo ERA5-Land,reanalysis,available,359.0,30.8001,237.5669,1,GSI_field_inventory,True,True,True
31,ASM/KRGJ/83D06/2016/61,Assam,Karimganj,Rakhalbasti,"Rakhalbasti, near Sonaicherra TG. Under Ram Krishna",24.659389,92.497361,Earth,Slide,18 May 2016,42.8,121.4,192.6,Open-Meteo historical weather,reanalysis,available,0.49801,Open-Meteo ERA5-Land,reanalysis,available,33.0,4.6844,299.5967,1,GSI_field_inventory,True,True,True
32,ASM/HLK/83D10/2020/003,Assam,Hailakandi,Mohanpur Grant Slide 1,"Mohanpur Grant, Hailakandi Circle.",24.70364,92.64681,Debris,Slide,02nd June 2020,,,,,,,,,,,48.0,12.1284,252.4638,1,GSI_field_inventory,False,False,True
33,AS/KRM/83D06/2014/01,Assam,Karimganj,Satkaragul,NH-44,24.70619,92.28997,Earth,Flow,,,,,,,,,,,,44.0,9.8594,136.2071,1,GSI_field_inventory,False,False,True
34,ASM/HLK/83D10/2020/004,Assam,Hailakandi,Mohanpur Grant Slide 2,"Mohanpur Grant, Hailakandi Circle.",24.70656,92.65008,Debris,Slide,02 June 2020,21.7,42.2,217.3,Open-Meteo historical weather,reanalysis,available,0.473094,Open-Meteo ERA5-Land,reanalysis,available,49.0,3.1728,151.1724,1,GSI_field_inventory,True,True,True
35,AS/KAR/83D06/2009-10/AS-2,Assam,Karimganj,Rongpur slide,Rongpur Village,24.710833,92.481167,Debris,Slide,03 June 2010,5.9,34.8,158.9,Open-Meteo historical weather,reanalysis,available,0.497135,Open-Meteo ERA5-Land,reanalysis,available,48.0,17.4927,288.7249,1,GSI_field_inventory,True,True,True
36,ASM/CHR/83D14/2020/0002,Assam,Cachar,Govindnagar Slide,"Govindnagar Pt. II, Sonai",24.72192,92.90381,Debris,Slide,05 June 2020,3.9,33.0,71.1,Open-Meteo historical weather,reanalysis,available,0.378562,Open-Meteo ERA5-Land,reanalysis,available,39.0,10.0258,169.8395,1,GSI_field_inventory,True,True,True
37,ASM/HLK/83D10/2020/005,Assam,Hailakandi,Mohanpur Grant Slide 3,"Mohanpur Grant, Hailakandi Circle.",24.73117,92.64739,Debris,Slide,02 June 2020,21.7,42.2,217.3,Open-Meteo historical weather,reanalysis,available,0.471875,Open-Meteo ERA5-Land,reanalysis,available,39.0,11.2246,322.6847,1,GSI_field_inventory,True,True,True
38,ASM/KGJ/83D05/2020/0008,Assam,Karimganj,Karimpur Slide 2,"Karimpur, Nilam Bazar",24.78002778,92.45372222,Earth,Slide,02 June 2020,35.3,54.9,217.8,Open-Meteo historical weather,reanalysis,available,0.485469,Open-Meteo ERA5-Land,reanalysis,available,44.0,14.2809,152.9161,1,GSI_field_inventory,True,True,True
39,ASM/KGJ/83D05/2020/007,Assam,Karimganj,Karimpur Slide 1,"Karimpur, Nilam Bazar",24.78380556,92.45563889,Earth,Slide,02 June 2020 LANDSLIDE INVENTORY (Field vaidated),,,,,,,,,,,33.0,15.0858,300.6944,1,GSI_field_inventory,False,False,True
40,ASM/HLK/83D09/2020/006,Assam,Hailakandi,Chandipur Grant Slide,"Bowarthar, Chandipur, Algapur Circle.",24.79489,92.55506,Debris,Slide,02 June 2020,31.2,51.6,236.8,Open-Meteo historical weather,reanalysis,available,0.485938,Open-Meteo ERA5-Land,reanalysis,available,45.0,8.5247,340.9041,1,GSI_field_inventory,True,True,True
41,AS/DIM/83C16/2018/27,Assam,Cachar,Lowajuri,NH53,24.795892,93.045425,Debris,Slide,,,,,,,,,,,,125.0,24.2014,308.4107,1,GSI_field_inventory,False,False,True
42,AS/DIM/83C16/2018/28,Assam,Cachar,Lalpani,NH53,24.813648,93.073009,Debris,Slide,,,,,,,,,,,,47.0,18.1588,335.9325,1,GSI_field_inventory,False,False,True
43,ASM/CHR/83H01/2020/001,Assam,Cachar,Kanakpur Slide,"Kanakpur Pt. III, Lakhipur, Joypur",24.92097,93.07306,Earth,Slide,02 June 2020,58.1,81.4,298.5,Open-Meteo historical weather,reanalysis,available,0.371292,Open-Meteo ERA5-Land,reanalysis,available,61.0,15.338,73.7196,1,GSI_field_inventory,True,True,True
44,AS/CHR/83D13/2020/9,Assam,Cachar,Haticherra slide,"NH-27(Old NH-54E, Silchar- Lumding road)",24.93,92.84,Debris,Slide,,,,,,,,,,,,51.0,5.6826,80.6375,1,GSI_field_inventory,False,False,True
46,AS/CHR/83D13/2020/7,Assam,Cachar,Subong slide,Subong Tea Estate,24.95,92.8,Debris,Slide,,,,,,,,,,,,37.0,6.87,254.4121,1,GSI_field_inventory,False,False,True
47,AS/CHR/83D13/2020/5,Assam,Cachar,Nagadun slide,Nagadun,24.96,92.92,Debris,Slide,,,,,,,,,,,,40.0,4.1885,77.2296,1,GSI_field_inventory,False,False,True
48,AS/CHR/83D09/2020/2,Assam,Cachar,Bicrampore slide-1,"Bicrampore Tea Estate, near BSF camp",24.96,92.7,Debris,Slide,,,,,,,,,,,,42.0,5.3998,82.6204,1,GSI_field_inventory,False,False,True
49,AS/CHR/83D09/2020/3,Assam,Cachar,Bicrampore Slide -2,"Bicrampore Tea Estate, near BSF camp",24.96,92.7,Debris,Slide,,,,,,,,,,,,42.0,5.3998,82.6204,1,GSI_field_inventory,False,False,True
50,AS/CHR/83D13/2020/4,Assam,Cachar,Guabari slide-2,Guabari (Naku nala),24.96,92.95,Debris,Slide,,,,,,,,,,,,140.0,14.3729,154.1832,1,GSI_field_inventory,False,False,True
51,AS/CHR/83D09/2020/1,Assam,Cachar,Sonbari Slide,Sonbari,24.96,92.66,Debris,Slide,,,,,,,,,,,,39.0,9.965,146.0174,1,GSI_field_inventory,False,False,True
52,AS/CHR/83D09/2020/5,Assam,Cachar,Dinonatpur slide,Dinonatpur,24.96,92.66,Debris,Slide,,,,,,,,,,,,39.0,9.965,146.0174,1,GSI_field_inventory,False,False,True
53,AS/CHR/83D13/2020/8,Assam,Cachar,Tikal Nadi,ONGC road,24.96,92.98,Debris,Slide,,,,,,,,,,,,60.0,28.1779,339.5141,1,GSI_field_inventory,False,False,True
54,AS/CHR/83D13/2020/1,Assam,Cachar,Balichhara slide-1,"NH-27(Old NH-54E, Silchar- Lumding road)",24.97,92.76,Debris,Slide,,,,,,,,,,,,24.0,3.8427,344.5824,1,GSI_field_inventory,False,False,True
55,AS/CHR/83D09/2020/4,Assam,Cachar,Narainchara grant slide,Narainchara grant,24.97,92.72,Debris,Slide,,,,,,,,,,,,57.0,4.5973,236.3845,1,GSI_field_inventory,False,False,True
56,AS/CHR/83D09/2020/6,Assam,Cachar,Narainchora slide-1,Narainchora,24.97,92.72,Debris,Slide,,,,,,,,,,,,57.0,4.5973,236.3845,1,GSI_field_inventory,False,False,True
57,AS/CHR/83D09/2020/7,Assam,Cachar,Naraichhora slide-2,Narainchora,24.97,92.72,Debris,Slide,2017,,,,,,,,,,,57.0,4.5973,236.3845,1,GSI_field_inventory,False,False,True
58,AS/CAC/83H01/2018/55,Assam,Cachar,Lailongchara 3,Lailongchara village,24.97228,93.03289,Debris,Slide,,,,,,,,,,,,157.0,2.1015,186.9879,1,GSI_field_inventory,False,False,True
59,AS/CAC/83H01/2018/54,Assam,Cachar,Lailongchara 2,Near Lailongchara village,24.97692,93.033,Rock,Fall,,,,,,,,,,,,184.0,18.4753,338.8522,1,GSI_field_inventory,False,False,True
60,AS/CAC/83H01/2018/53,Assam,Cachar,Lailongchara 1,NH53,24.97714,93.03344,Debris,Slide,,,,,,,,,,,,176.0,12.8766,337.0086,1,GSI_field_inventory,False,False,True
61,AS/CHR/83D13/2020/6,Assam,Cachar,Balichhara slide-3,"NH-27(Old NH-54E, Silchar- Lumding road)",24.98,92.75,Debris,Slide,,,,,,,,,,,,32.0,5.5708,5.2526,1,GSI_field_inventory,False,False,True
62,AS/CHR/83D13/2020/3,Assam,Cachar,Guabari slide-1,Guabari,24.98,92.96,Debris,Slide,,,,,,,,,,,,166.0,26.4407,290.9818,1,GSI_field_inventory,False,False,True
63,AS/CHR/83C12/2020/3,Assam,Cachar,Ekala Basti slide,Ekala Basti (Railway line),24.98,92.72,Debris,Slide,,,,,,,,,,,,37.0,1.7927,301.1447,1,GSI_field_inventory,False,False,True
64,AS/CHR/83D09/2020/9,Assam,Cachar,Khurkurie slide,Khurkurie,24.99,92.6,Debris,Slide,,,,,,,,,,,,84.0,2.3128,95.7508,1,GSI_field_inventory,False,False,True
65,AS/CHR/83D05/2020/2,Assam,Cachar,Tarapur slide,Tarapur,24.99,92.45,Debris,Slide,2016,,,,,,,,,,,18.0,1.3901,213.5035,1,GSI_field_inventory,False,False,True
66,AS/CHR/83D13/2020/2,Assam,Cachar,Balichhara slide-2,"NH-27(Old NH-54E, Silchar- Lumding road)",24.99,92.75,Debris,Slide,,,,,,,,,,,,152.0,20.2964,213.7342,1,GSI_field_inventory,False,False,True
67,AS/CAC/83H01/2018/42,Assam,Cachar,Bara Arkap_1,Raja Bazaar ΓÇôBara Arkap road.,24.993,93.161583,Debris,Slide,,,,,,,,,,,,189.0,20.5558,130.355,1,GSI_field_inventory,False,False,True
68,AS/CAC/83H01/2018/43,Assam,Cachar,Bara Arkap_2,Raza Bazaar ΓÇôBara Arkap Highway.,24.99561,93.16261,Debris,Slide,,,,,,,,,,,,203.0,28.7082,101.9409,1,GSI_field_inventory,False,False,True
69,AS/CHR/83D05/2020/1,Assam,Cachar,Natanpur slide,Natanpur,25.0,92.43,Debris,Slide,,,,,,,,,,,,22.0,,,1,GSI_field_inventory,False,False,False
70,AS/DIM/83G4/2015/61,Assam,Dima Hasao,Jenam Ghat road,"State Highway, 3 km before Jenam Ghat",25.003,93.164,Earth,Slide,,,,,,,,,,,,211.0,19.5267,264.1052,1,GSI_field_inventory,False,False,True
71,AS/DIM/83G4/2015/33,Assam,Dima Hasao,Nutan Leikul-6,Nutan Leikul.NH-54,25.008,93.04,Earth,Slide,2014,,,,,,,,,,,194.0,12.9962,117.1228,1,GSI_field_inventory,False,False,True
72,AS/CHR/83C12/2020/5,Assam,Cachar,New Jatinga slide,"NH-27(Old NH-54E, Silchar- Lumding road)",25.01,92.75,Debris,Slide,,,,,,,,,,,,40.0,1.8543,0.0,1,GSI_field_inventory,False,False,True
73,AS/CHR/83C12/2020/6,Assam,Cachar,NH -27 slide 2,"NH-27(Old NH-54E, Silchar- Lumding road)",25.01,92.75,Debris,Slide,,,,,,,,,,,,40.0,1.8543,0.0,1,GSI_field_inventory,False,False,True
74,AS/CHR/83C12/2020/7,Assam,Cachar,NH -27 slide 1,"NH-27(Old NH-54E, Silchar- Lumding road)",25.01,92.75,Debris,Slide,,,,,,,,,,,,40.0,1.8543,0.0,1,GSI_field_inventory,False,False,True
75,AS/CHR/83C12/2020/4,Assam,Cachar,Jatinga River slide-2,Damchara,25.01,92.73,Debris,Slide,,,,,,,,,,,,100.0,27.6057,352.1465,1,GSI_field_inventory,False,False,True
76,AS/DIM/83C16/2017/10,Assam,Dima Hasao,Miyunkro1,NH54,25.010379,92.75482,Debris,Slide,,,,,,,,,,,,97.0,13.0081,327.231,1,GSI_field_inventory,False,False,True
77,AS/DIM/83C16/2017/41,Assam,Dima Hasao,Durbintola4,NH54,25.01856,92.77011,Debris,Slide,,,,,,,,,,,,80.0,15.8059,304.8786,1,GSI_field_inventory,False,False,True
78,AS/DIM/83C16/2018/49,Assam,Dima Hasao,Durbintola5,NH53,25.019029,92.770549,Debris,Slide,,,,,,,,,,,,92.0,23.7303,282.7644,1,GSI_field_inventory,False,False,True
81,AS/CAC/83C4/2016/73,Assam,Cachar,0.21 km N of Malidhar,NH44,25.029708,92.463967,Debris,Slide,2015,,,,,,,,,,,89.0,27.6678,343.1635,1,GSI_field_inventory,False,False,True
82,AS/CAC/83C4/2016/74,Assam,Cachar,0.39 km N of Malidhar,NH44,25.031431,92.463231,Debris,Slide,2015,,,,,,,,,,,93.0,42.1068,239.3051,1,GSI_field_inventory,False,False,True
83,AS/CAC/83C4/2016/75,Assam,Cachar,0.48 km N of Malidhar,NH44,25.032119,92.462636,Debris,Slide,2015,,,,,,,,,,,69.0,36.1922,234.8844,1,GSI_field_inventory,False,False,True
84,AS/CAC/83C4/2016/76,Assam,Cachar,0.58 km NW of Malidhar,NH44,25.032989,92.462214,Debris,Slide,2015,,,,,,,,,,,82.0,35.3741,242.5028,1,GSI_field_inventory,False,False,True
85,AS/DIM/83C16/2017/58,Assam,Dima Hasao,Durbintola5,NH54,25.034948,92.778753,Debris,Slide,,,,,,,,,,,,88.0,28.6761,305.2496,1,GSI_field_inventory,False,False,True
86,AS/DIM/83C16/2017/40,Assam,Dima Hasao,Durbintola3,NH54,25.0365,92.780417,Debris,Slide,,,,,,,,,,,,93.0,25.7956,281.5929,1,GSI_field_inventory,False,False,True
87,MEG/WJH/83C4/2016/45,Assam,Cachar,2 km E of Rathacherra,NH44 (near to weight bridge),25.037203,92.450339,Debris,Slide,2015,,,,,,,,,,,211.0,41.8928,283.8341,1,GSI_field_inventory,False,False,True
88,AS/DIM/83C16/2017/39,Assam,Dima Hasao,Durbintola2,NH54,25.039722,92.781889,Debris,Slide,,,,,,,,,,,,99.0,34.8937,329.1791,1,GSI_field_inventory,False,False,True
89,AS/DIM/83C16/2017/38,Assam,Dima Hasao,Durbintola1,NH54,25.041083,92.783111,Debris,Slide,,,,,,,,,,,,91.0,30.2298,299.088,1,GSI_field_inventory,False,False,True
90,AS/DIM/83C16/2017/37,Assam,Dima Hasao,Bandarkhal11,NH54,25.046444,92.789667,Debris,Slide,,,,,,,,,,,,107.0,28.9054,315.9127,1,GSI_field_inventory,False,False,True
91,AS/DIM/83C16/2017/36,Assam,Dima Hasao,Bandarkhal10,NH54,25.046778,92.790111,Debris,Slide,,,,,,,,,,,,110.0,25.9572,321.3929,1,GSI_field_inventory,False,False,True
92,AS/DIM/83C16/2017/25,Assam,Dima Hasao,Bandarkhal9,NH54,25.047417,92.793389,Debris,Slide,,,,,,,,,,,,118.0,37.7323,317.959,1,GSI_field_inventory,False,False,True
93,AS/DIM/83C16/2018/29,Assam,Dima Hasao,Bandarkhal railway slide.,Between NFR Bridge No. 305 and Tunnel No. 19 (~2 km SW of Bandarkhal Railway Station).,25.04783,92.78931,Debris,Slide,,,,,,,,,,,,95.0,26.7334,153.1079,1,GSI_field_inventory,False,False,True
94,AS/DIM/83C16/2017/24,Assam,Dima Hasao,Bandarkhal8,NH54,25.049417,92.796722,Debris,Slide,,,,,,,,,,,,111.0,19.7442,352.8505,1,GSI_field_inventory,False,False,True
98,AS/DIM/83C16/2017/20,Assam,Dima Hasao,Bandarkhal5,NH54,25.056611,92.801722,Debris,Slide,,,,,,,,,,,,131.0,36.4218,317.3038,1,GSI_field_inventory,False,False,True
99,AS/DIM/83C16/2017/18,Assam,Dima Hasao,Bandarkhal3,NH54,25.060088,92.807089,Debris,Slide,,,,,,,,,,,,186.0,35.2968,341.6077,1,GSI_field_inventory,False,False,True
100,AS/DIM/83C16/2017/19,Assam,Dima Hasao,Bandarkhal4,NH54,25.060944,92.80675,Debris,Slide,,,,,,,,,,,,126.0,11.86,253.1982,1,GSI_field_inventory,False,False,True
101,AS/DIM/83C16/2017/15,Assam,Dima Hasao,Paschim Bandarkhla3,West of Paschim Bandarkhal,25.061375,92.795906,Debris,Slide,,,,,,,,,,,,271.0,24.2389,58.5782,1,GSI_field_inventory,False,False,True
102,AS/DIM/83C16/2017/17,Assam,Dima Hasao,Bandarkhal2,NH54,25.061417,92.806833,Debris,Slide,,,,,,,,,,,,162.0,25.3333,242.5082,1,GSI_field_inventory,False,False,True
103,AS/DIM/83C16/2017/13,Assam,Dima Hasao,Paschim Bandarkhla1,West of Paschim Bandarkhal,25.061847,92.79345,Debris,Slide,,,,,,,,,,,,354.0,50.862,64.8595,1,GSI_field_inventory,False,False,True
104,AS/DIM/83C16/2017/14,Assam,Dima Hasao,Paschim Bandarkhla2,West of Paschim Bandarkhal,25.063378,92.795536,Debris,Slide,,,,,,,,,,,,283.0,17.207,146.7564,1,GSI_field_inventory,False,False,True
105,AS/DIM/83C16/2017/12,Assam,Dima Hasao,Bandarkhal1,NH54,25.063472,92.807796,Debris,Slide,,,,,,,,,,,,189.0,36.3778,283.988,1,GSI_field_inventory,False,False,True
106,AS/DIH/83G08/2020/33,Assam,Dima Hasao,Data taken from P. Songkai to,Natun Songkai road,25.07,93.29,Debris,Slide,,,,,,,,,,,,335.0,12.1873,221.4511,1,GSI_field_inventory,False,False,True
108,AS/DIM/83C16/2017/11,Assam,Dima Hasao,Kayang1,NH54,25.073228,92.814734,Debris,Slide,,,,,,,,,,,,255.0,20.9113,354.6322,1,GSI_field_inventory,False,False,True
109,AS/DIM/83C16/2017/09,Assam,Dima Hasao,Duiheng2,Old HaflongSilchar road,25.078935,92.95379,Debris,Slide,,,,,,,,,,,,1081.0,23.925,284.7978,1,GSI_field_inventory,False,False,True
110,AS/DIM/83C16/2017/08,Assam,Dima Hasao,Duiheng1,Old HaflongSilchar road,25.088389,92.958944,Debris,Slide,,,,,,,,,,,,965.0,23.2376,145.0834,1,GSI_field_inventory,False,False,True
111,AS/DIH/83G08/2020/31,Assam,Dima Hasao,P. Songkai to Natun Songkai,road,25.1,93.28,Rock,Slide,,,,,,,,,,,,909.0,12.581,157.6378,1,GSI_field_inventory,False,False,True
112,AS/DIH/83G08/2020/32,Assam,Dima Hasao,P. Songkai to Natun Songkai,road,25.1,93.28,Rock,Slide,,,,,,,,,,,,909.0,12.581,157.6378,1,GSI_field_inventory,False,False,True
113,AS/DIH/83G08/2020/36,Assam,Dima Hasao,P. Songkai to Natun Songkai,road,25.1,93.28,Debris,Slide,,,,,,,,,,,,909.0,12.581,157.6378,1,GSI_field_inventory,False,False,True
114,AS/DIM/83C16/2017/06,Assam,Dima Hasao,Retzawl5,Old HaflongSilchar road,25.10275,92.986944,Debris,Slide,,,,,,,,,,,,612.0,28.1894,327.7468,1,GSI_field_inventory,False,False,True
116,AS/DIM/83C16/2017/01,Assam,Dima Hasao,Retzawl1,NH54,25.105414,92.972784,Debris,Slide,,,,,,,,,,,,386.0,20.4152,315.8586,1,GSI_field_inventory,False,False,True
117,AS/DIM/83G4/2015/14,Assam,Dima Hasao,Silchar road,NH-54 near Jatinga,25.106,93.001,Earth,Slide,,,,,,,,,,,,677.0,35.1196,5.4695,1,GSI_field_inventory,False,False,True
118,AS/DIM/83C16/2017/02,Assam,Dima Hasao,Retzawl2,Old HaflongSilchar road,25.106956,92.991363,Debris,Slide,,,,,,,,,,,,576.0,21.2101,50.4969,1,GSI_field_inventory,False,False,True
119,AS/DIM/83G4/2015/13,Assam,Dima Hasao,Silchar road,NH-54 near Jatinga,25.107,93.002,Earth,Slide,,,,,,,,,,,,604.0,26.5535,25.9893,1,GSI_field_inventory,False,False,True
120,AS/DIM/83C16/2017/31,Assam,Dima Hasao,Bara Mulkai sinking zone.,NH54,25.107546,92.885543,Debris,Slide,,,,,,,,,,,,279.0,10.4717,55.2993,1,GSI_field_inventory,False,False,True
121,AS/DIM/83G4/2015/15,Assam,Dima Hasao,Silchar road,NH-54 near Jatinga,25.108,93.003,Earth,Slide,,,,,,,,,,,,538.0,11.6523,85.4978,1,GSI_field_inventory,False,False,True
122,AS/DIM/83C16/2017/03,Assam,Dima Hasao,Retzawl3,NH54,25.108759,92.978048,Debris,Slide,,,,,,,,,,,,432.0,21.252,2.6346,1,GSI_field_inventory,False,False,True
123,AS/DIM/83C16/2017/04,Assam,Dima Hasao,Retzawl4,West of Retzawl,25.108806,92.975139,Debris,Slide,,,,,,,,,,,,367.0,17.3134,333.6112,1,GSI_field_inventory,False,False,True
125,AS/DIM/83C16/2017/33,Assam,Dima Hasao,New Harangajao railway station slide. NH54,,25.11219,92.86881,Debris,Slide,,,,,,,,,,,,249.0,14.9051,325.187,1,GSI_field_inventory,False,False,True
128,AS/DIM/83G4/2015/11,Assam,Dima Hasao,Silchar road slide.,NH-54 near Jatinga.,25.118,93.014,Debris,Slide,,,,,,,,,,,,621.0,15.2132,299.4126,1,GSI_field_inventory,False,False,True
129,AS/DIM/83G4/2015/16,Assam,Dima Hasao,Silchar road,NH-54 near Jatinga,25.119,93.017,Earth,Slide,,,,,,,,,,,,724.0,20.2263,311.2255,1,GSI_field_inventory,False,False,True
130,AS/DIM/83G4/2015/17,Assam,Dima Hasao,Silchar road,NH-54 near Jatinga,25.119,93.018,Earth,Slide,,,,,,,,,,,,750.0,21.1447,324.7022,1,GSI_field_inventory,False,False,True
